date_collected,1,2+
2013-11-17,0.83,0.17
2014-05-11,0.81,0.19
2014-08-24,0.82,0.18
2015-02-19,0.82,0.18
2015-08-21,0.82,0.18
2015-10-21,0.85,0.15
2015-11-21,0.81,0.19
2015-12-14,0.8,0.2
2016-01-16,0.81,0.19
2016-02-17,0.83,0.17
2016-03-19,0.83,0.17
2016-04-15,0.87,0.13
2016-05-19,0.88,0.12
2016-06-04,0.84,0.16
2016-06-18,0.87,0.13
2016-07-17,0.87,0.13
2016-08-19,0.86,0.14
2016-09-17,0.85,0.15
2016-10-19,0.85,0.15
2016-11-21,0.87,0.13
2016-12-23,0.86,0.14
2017-01-14,0.87,0.13
2017-02-16,0.87,0.13
2017-03-12,0.88,0.12
2017-03-24,0.87,0.13
2017-04-08,0.87,0.13
2017-05-05,0.87,0.13
2017-07-10,0.87,0.13
